"代號","名稱","公佈日","比例","生效日期","臨時代號","備註","狀態"
"00910.hk","中國三迪","17/08/26","=""200:1""","06/10/26","-","更改每手買賣單位, 股本削減, 拆細未發行股份","未生效"
"08179.hk","百利達集團控股","14/08/26","=""50:1""","02/10/26","-","更改每手買賣單位, 供股, 股本重組, 股本削減, 拆細未發行股份","未生效"
"00348.hk","中國智能健康","13/08/26","=""5:1""","22/09/26","-","N/A","未生效"
"02113.hk","世紀集團國際","13/08/26","=""20:1""","14/09/26","-","更改每手買賣單位","未生效"
"00653.hk","卓悅控股","04/08/26","=""30:1""","11/09/26","-","更改每手買賣單位, 股本削減, 拆細未發行股份","未生效"
"08366.hk","浙江聯合投資","29/07/26","=""20:1""","23/10/26","-","更改每手買賣單位, 股本削減, 拆細未發行合併股份, 供股","未生效"
"02110.hk","天成控股","27/07/26","=""10:1""","03/09/26","-","更改每手買賣單位, 股本削減, 拆細未發行合併股份","未生效"
"00928.hk","帝王國際投資","23/07/26","=""10:1""","30/09/26","-","更改每手買賣單位, 供股","未生效"
"02728.hk","金泰能源控股","22/07/26","=""20:1""","15/09/26","-","更改每手買賣單位, 修訂公司章程","未生效"
"01803.hk","北京體育文化","17/07/26","=""10:1""","24/08/26","-","更改每手買賣單位","已生效"
"00730.hk","首惠產業金融","14/07/26","=""50:1""","10/09/26","-","供股","未生效"
"08446.hk","耀星科技集團","02/07/26","=""20:1""","07/08/26","-","N/A","已生效"
"01745.hk","驢跡科技","29/06/26","=""50:1""","29/07/26","-","N/A","已生效"
"00061.hk","綠領控股","22/06/26","=""4:1""","14/07/26","-","更改每手買賣單位","已生效"
"01063.hk","新確科技","22/06/26","=""5:1""","29/07/26","-","更改每手買賣單位","已生效"
"00789.hk","雅天妮集團","17/06/26","=""5:1""","20/07/26","-","更改每手買賣單位","已生效"
"00356.hk","鼎立資本","09/06/26","=""15:1""","20/07/26","-","更改每手買賣單位","已生效"
"00022.hk","茂盛控股","05/06/26","=""50:1""","06/07/26","-","更改每手買賣單位","已生效"
"08059.hk","朝威控股","05/06/26","=""20:1""","17/07/26","-","削減已發行合併股份之股本及拆細 未發行合併股份","已生效"
"00209.hk","萬維智能科技","02/06/26","=""10:1""","24/07/26","-","更改每手買賣單位","已生效"
"08128.hk","中華節能","28/05/26","=""10:1""","16/07/26","-","更改每手買賣單位","已生效"
"01340.hk","惠生國際","20/05/26","=""8:1""","03/07/26","-","更改每手買賣單位, 配股","已生效"
"06051.hk","有贊","20/05/26","=""20:1""","03/07/26","-","更改每手買賣單位","已生效"
"00309.hk","新華通訊頻媒","17/05/26","=""40:1""","24/06/26","-","更改每手買賣單位","已生效"
"03313.hk","雅高控股","15/05/26","=""10:1""","02/07/26","-","更改每手買賣單位","已生效"
"08471.hk","新達控股","15/05/26","=""20:1""","23/06/26","-","N/A","已生效"
"01341.hk","昊天國際建投","29/04/26","=""20:1""","03/07/26","-","N/A","已生效"
"01777.hk","花樣年控股","24/04/26","=""5:1""","03/08/26","-","更改每手買賣單位","已生效"
"02699.hk","新明中國","23/04/26","=""25:1""","03/06/26","-","N/A","已生效"
"08071.hk","中彩網通控股","20/04/26","=""50:1""","30/06/26","-","N/A","已生效"
"08143.hk","金威醫療","17/04/26","=""5:1""","15/07/26","-","股本削減及拆細未發行股份","已生效"
"00648.hk","京玖康療","17/04/26","=""20:1""","19/05/26","-","更改每手買賣單位","已生效"
"00862.hk","遠見控股","13/04/26","=""10:1""","27/05/26","-","發行可換股票據, 更改每手買賣單位","已生效"
"00721.hk","中國金融國際","30/03/26","=""5:1""","02/06/26","-","N/A","已生效"
"08069.hk","飛道旅遊科技","27/03/26","=""20:1""","06/05/26","-","N/A","已生效"
"00809.hk","大成生化科技","27/03/26","=""10:1""","26/06/26","-","更改每手買賣單位","已生效"
"01371.hk","中國生態旅遊","25/03/26","=""10:1""","未公佈","-","註銷股份溢價, 債權人計劃, 更改每手買賣單位, 申請清洗豁免, 發行計劃股份","待公佈"
"02459.hk","昇能集團","24/03/26","=""10:1""","14/05/26","-","更改每手買賣單位, 拆細未發行合併股份,","已生效"
"00876.hk","佳兆業健康","18/03/26","=""50:1""","未公佈","-","配股, 委任獨立財務顧問, 更改每手買賣單位","待公佈"
"03321.hk","中科集團控股","13/03/26","=""10:1""","24/04/26","-","更改每手買賣單位","已生效"
"01468.hk","嘉高達資本","06/03/26","=""5:1""","24/06/26","-","拆細未發行股份","已生效"
"08057.hk","麥迪森控股","05/03/26","=""10:1""","18/05/26","-","增加法定股本, 供股, 委任獨立財務顧問","已生效"
"08021.hk","匯隆控股","06/02/26","=""40:1""","16/04/26","-","供股","已生效"
"02448.hk","恆宇集團","05/02/26","=""25:1""","未公佈","-","N/A","待公佈"
"02160.hk","微創心通－Ｂ","26/01/26","=""5:1""","24/02/26","-","N/A","已生效"
"01341.hk","昊天國際建投","16/01/26","=""5:1""","04/03/26","-","更改每手買賣單位","已生效"
"08246.hk","中華燃氣","06/01/26","=""8:1""","24/02/26","-","更改每手買賣單位","已生效"
"01004.hk","中國智慧能源","05/01/26","=""20:1""","10/02/26","-","更改每手買賣單位","已生效"
"00248.hk","香港通訊國際控股","02/01/26","=""8:1""","05/02/26","-","增加法定股本, 更改每手買賣單位, 供股","已生效"
"01894.hk","恒益控股","11/12/25","=""20:1""","04/02/26","-","增加法定股本, 供股","已生效"
"03708.hk","世界數字經濟產業","09/12/25","=""10:1""","13/01/26","-","更改每手買賣單位 , 增加法定股本, 更改公司名稱","已生效"
"08513.hk","加和國際控股","03/12/25","=""10:1""","08/01/26","-","更改每手買賣單位","已生效"
"01413.hk","鑄帝控股","21/11/25","=""5:1""","16/12/25","-","更改每手買賣單位","已生效"
"01792.hk","CMON","14/11/25","=""35:1""","11/12/25","-","更改每手買賣單位","已生效"
"08050.hk","城市酷選","06/11/25","=""5:1""","08/12/25","-","N/A","已生效"
"00419.hk","弘毅文化集團","03/11/25","=""10:1""","11/12/25","-","N/A","已生效"
"01949.hk","佰達國際控股","31/10/25","=""5:1""","05/12/25","-","更改每手買賣單位","已生效"
"02147.hk","正味集團","31/10/25","=""20:1""","04/12/25","-","N/A","已生效"
"02371.hk","創聯控股","24/10/25","=""10:1""","02/01/26","-","更改每手買賣單位, 配股","已生效"
"00482.hk","聖馬丁國際","24/10/25","=""10:1""","10/12/25","-","股本重組, 供股","已生效"
