"代號","名稱","公佈日","比例","生效日期","臨時代號","備註","狀態"
"02670.hk","雲迹","14/08/26","=""1:10""","04/09/26","-","更改每手買賣單位","未生效"
"01196.hk","偉祿科技股份","07/08/26","=""1:4""","14/09/26","-","更改每手買賣單位","未生效"
"01218.hk","永義國際","20/07/26","=""1:10""","27/08/26","-","更改每手買賣單位","已生效"
"03848.hk","浩森金融科技","29/05/26","=""1:5""","07/07/26","-","N/A","已生效"
"02525.hk","禾賽－Ｗ","26/05/26","=""1:8""","10/07/26","-","更改每手買賣單位","已生效"
"02477.hk","經緯天地","25/03/26","=""1:4""","21/04/26","-","N/A","已生效"
"08087.hk","中國三三集團","18/03/26","=""1:5""","28/04/26","-","更改每手買賣單位","已生效"
"02635.hk","諾比侃","23/02/26","=""1:10""","11/03/26","-","修訂公司章程, 更改每手買賣單位","已生效"
"03881.hk","希迪智駕","27/01/26","=""1:10""","02/03/26","-","更改每手買賣單位","已生效"
"02650.hk","摯達科技","23/01/26","=""1:5""","03/03/26","-","N/A","已生效"
"03939.hk","萬國黃金集團","03/11/25","=""1:4""","25/11/25","-","更改每手買賣單位","已生效"
"02324.hk","首都創投","13/08/25","=""1:25""","31/10/25","-","供股","已生效"
"01783.hk","晉景新能","07/08/25","=""1:2""","23/09/25","-","N/A","已生效"
"09900.hk","智雲科技建設","11/07/25","=""1:8""","19/08/25","-","N/A","已生效"
"02490.hk","樂艙物流","04/07/25","=""1:2""","28/07/25","-","更改每手買賣單位","已生效"
"01636.hk","中國金屬利用","10/06/25","=""1:100""","25/08/25","-","更改每手買賣單位","已生效"
"02340.hk","昇柏控股","13/03/25","=""1:10""","09/04/25","-","股本削減","已生效"
"02477.hk","經緯天地","19/02/25","=""1:2""","31/03/25","-","更改每手買賣單位","已生效"
"02473.hk","喜相逢集團","14/11/24","=""1:3""","05/12/24","-","N/A","已生效"
"08107.hk","細葉榕科技","26/06/24","=""1:10""","26/07/24","-","更改每手買賣單位, 更改公司名稱","已生效"
"01855.hk","中慶股份","10/04/24","=""1:3""","01/08/24","-","N/A","已生效"
"09882.hk","永聯豐控股","19/03/24","=""1:2""","21/05/24","-","更改每手買賣單位","已生效"
"02169.hk","滄港鐵路","29/12/23","=""1:4""","23/01/24","-","更改每手買賣單位","已生效"
"01735.hk","中環新能源","06/11/23","=""1:4""","22/12/23","-","N/A","已生效"
"06686.hk","諾亞控股","29/08/23","=""1:10""","30/10/23","-","更改每手買賣單位","已生效"
"01463.hk","C-LINK SQ","11/05/23","=""1:3""","13/06/23","-","更改每手買賣單位","已生效"
"02255.hk","海昌海洋公園","10/10/22","=""1:2""","10/11/22","-","N/A","已生效"
"09688.hk","再鼎醫藥","11/02/22","=""1:10""","30/03/22","-","更改每手買賣單位","已生效"
"08299.hk","大唐黃金","02/11/21","=""1:60""","06/01/22","-","更改每手買賣單位, 供股, 申請清洗豁免","已生效"
"03738.hk","阜博集團","07/06/21","=""1:4""","15/07/21","-","N/A","已生效"
"01909.hk","火岩控股","30/03/21","=""1:4""","04/05/21","-","N/A","已生效"
"02269.hk","藥明生物","21/09/20","=""1:3""","16/11/20","-","N/A","已生效"
"00373.hk","聯合集團","22/07/20","=""1:20""","07/09/20","-","N/A","已生效"
"01909.hk","火岩控股","20/07/20","=""1:3""","19/08/20","-","N/A","已生效"
"01735.hk","中環新能源","29/06/20","=""1:4""","05/08/20","-","N/A","已生效"
"00237.hk","安全貨倉","26/06/20","=""1:3""","18/08/20","-","N/A","已生效"
"01660.hk","七元投資","02/09/19","=""1:5""","17/10/19","-","N/A","已生效"
"02399.hk","中國安儲能源","28/08/19","=""1:4""","17/10/19","-","N/A","已生效"
"08283.hk","中食民安","21/02/19","=""1:4""","04/04/19","-","修訂組織章程大綱及章程細則","已生效"
"00059.hk","天譽置業","12/09/18","=""1:3""","22/10/18","2983","N/A","已生效"
"01466.hk","佰金生命科學","04/09/18","=""1:5""","02/10/18","2979","N/A","已生效"
"01632.hk","民商創科","24/07/18","=""1:4""","27/08/18","2971","建議更改公司名稱","已生效"
"02348.hk","東瑞製葯","11/07/18","=""1:2""","06/08/18","2969","建議特別股息","已生效"
"01317.hk","楓葉教育","23/05/18","=""1:2""","09/07/18","2954","N/A","已生效"
"01181.hk","唐宮中國","07/05/18","=""1:2""","05/06/18","2943","關連交易","已生效"
"08293.hk","星亞控股","28/01/18","=""1:5""","08/03/18","8596","N/A","已生效"
"03708.hk","世界數字經濟產業","08/01/18","=""1:5""","08/02/18","2928","N/A","已生效"
"01689.hk","華禧控股","14/12/17","=""1:2""","25/01/18","2924","N/A","已生效"
"01131.hk","鴻寶資源","12/12/17","=""1:3""","12/01/18","2919","N/A","已生效"
"02728.hk","金泰能源控股","06/12/17","=""1:2""","17/01/18","2921","N/A","已生效"
"00932.hk","順騰國際控股","27/10/17","=""1:4""","05/12/17","2912","N/A","已生效"
"03326.hk","保發集團","07/08/17","=""1:3""","13/09/17","2990","N/A","已生效"
"00915.hk","道和環球","17/07/17","=""1:3""","10/08/17","2980","N/A","已生效"
"01145.hk","勇利投資","06/06/17","=""1:3""","06/07/17","2975","N/A","已生效"
"02213.hk","益華控股","07/04/17","=""1:2""","10/05/17","2961","N/A","已生效"
"00635.hk","彩星集團","29/03/17","=""1:10""","19/05/17","2964","N/A","已生效"
"08108.hk","福澤集團","17/03/17","=""1:2""","18/04/17","8578","N/A","已生效"
"02728.hk","金泰能源控股","13/03/17","=""1:2""","27/04/17","2960","N/A","已生效"
"01499.hk","歐科雲鏈","09/03/17","=""1:2""","24/04/17","2951","N/A","已生效"
"01269.hk","首控集團","27/01/17","=""1:5""","28/02/17","2943","N/A","已生效"
