date,name,source_url
2025-01-01,The first day of January,https://www.hkex.com.hk/News/HKEX-Calendar
2025-01-29,Lunar New Year's Day,https://www.hkex.com.hk/News/HKEX-Calendar
2025-01-30,The second day of Lunar New Year,https://www.hkex.com.hk/News/HKEX-Calendar
2025-01-31,The third day of Lunar New Year,https://www.hkex.com.hk/News/HKEX-Calendar
2025-04-04,Ching Ming Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2025-04-18,Good Friday,https://www.hkex.com.hk/News/HKEX-Calendar
2025-04-21,Easter Monday,https://www.hkex.com.hk/News/HKEX-Calendar
2025-05-01,Labour Day,https://www.hkex.com.hk/News/HKEX-Calendar
2025-05-05,The Birthday of the Buddha,https://www.hkex.com.hk/News/HKEX-Calendar
2025-07-01,HKSAR Establishment Day,https://www.hkex.com.hk/News/HKEX-Calendar
2025-10-01,National Day,https://www.hkex.com.hk/News/HKEX-Calendar
2025-10-07,The day following the Chinese Mid-Autumn Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2025-10-29,Chung Yeung Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2025-12-25,Christmas Day,https://www.hkex.com.hk/News/HKEX-Calendar
2025-12-26,The first weekday after Christmas Day,https://www.hkex.com.hk/News/HKEX-Calendar
2026-01-01,The first day of January,https://www.hkex.com.hk/News/HKEX-Calendar
2026-02-17,Lunar New Year's Day,https://www.hkex.com.hk/News/HKEX-Calendar
2026-02-18,The second day of Lunar New Year,https://www.hkex.com.hk/News/HKEX-Calendar
2026-02-19,The third day of Lunar New Year,https://www.hkex.com.hk/News/HKEX-Calendar
2026-04-03,Good Friday,https://www.hkex.com.hk/News/HKEX-Calendar
2026-04-06,The day following Ching Ming Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2026-04-07,The day following Easter Monday,https://www.hkex.com.hk/News/HKEX-Calendar
2026-05-01,Labour Day,https://www.hkex.com.hk/News/HKEX-Calendar
2026-05-25,The day following the Birthday of the Buddha,https://www.hkex.com.hk/News/HKEX-Calendar
2026-06-19,Tuen Ng Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2026-07-01,HKSAR Establishment Day,https://www.hkex.com.hk/News/HKEX-Calendar
2026-10-01,National Day,https://www.hkex.com.hk/News/HKEX-Calendar
2026-10-19,The day following Chung Yeung Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2026-12-25,Christmas Day,https://www.hkex.com.hk/News/HKEX-Calendar
2027-01-01,The first day of January,https://www.hkex.com.hk/News/HKEX-Calendar
2027-02-08,The third day of Lunar New Year,https://www.hkex.com.hk/News/HKEX-Calendar
2027-02-09,The fourth day of Lunar New Year,https://www.hkex.com.hk/News/HKEX-Calendar
2027-03-26,Good Friday,https://www.hkex.com.hk/News/HKEX-Calendar
2027-03-29,Easter Monday,https://www.hkex.com.hk/News/HKEX-Calendar
2027-04-05,Ching Ming Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2027-05-13,The Birthday of the Buddha,https://www.hkex.com.hk/News/HKEX-Calendar
2027-06-09,Tuen Ng Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2027-07-01,HKSAR Establishment Day,https://www.hkex.com.hk/News/HKEX-Calendar
2027-09-16,The day following the Chinese Mid-Autumn Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2027-10-01,National Day,https://www.hkex.com.hk/News/HKEX-Calendar
2027-10-08,Chung Yeung Festival,https://www.hkex.com.hk/News/HKEX-Calendar
2027-12-27,The first weekday after Christmas Day,https://www.hkex.com.hk/News/HKEX-Calendar
