code,name,group
06162,,caiji
01869,,caiji
00550,,caiji
01449,,caiji;lshape
08232,,caiji
03321,,caiji
01613,,caiji
08483,,caiji
09978,,caiji
02503,,caiji
08201,,caiji
06610,,caiji
01536,,caiji
08283,,caiji
08121,,caiji
08496,,caiji
01323,,caiji
00033,,caiji
01592,,caiji
06939,,caiji
00256,,caiji
00397,,caiji
08178,,caiji
02699,,caiji
08611,,caiji
01676,,caiji
01417,,caiji
01657,,caiji
02497,,lshape
01871,,lshape
01582,,lshape
01927,,lshape
01941,,lshape
01433,,lshape
01843,,lshape
02455,,lshape
01615,,lshape
01284,,lshape
02129,,lshape
01407,,lshape
01545,,lshape
01650,,lshape
01955,,lshape
02263,,lshape
01455,,lshape
01960,,lshape
01793,,lshape
01947,,lshape
02347,,lshape
02457,,lshape
01832,,lshape
01156,,lshape
