code,name,lshape_class,has_go,weekly_holding_pct,weekly_status,longbridge_symbol,priority
01792,CMON,A 重注區,,,,1792.HK,1
08036,電子交易集團,B 階梯內,,,,8036.HK,1
08489,裕程物流,B 階梯內,,,,8489.HK,1
08241,英記茶莊集團,B 階梯內,,,,8241.HK,1
08447,MS CONCEPT,B 階梯內,,,,8447.HK,1
08620,亞洲速運,B 階梯內,,,,8620.HK,1
01452,迪諾斯環保,B 階梯內,,,,1452.HK,1
01581,進昇集團控股,B 階梯內,,,,1581.HK,1
02593,草姬集團,B 階梯內,,,,2593.HK,1
01871,向中國際,B 階梯內,,,,1871.HK,1
01156,中國新能源,B 階梯內,,0.71,勢頭向上,1156.HK,1
09916,興業物聯,B 階梯內,,,,9916.HK,1
00851,盛源控股,B 階梯內,,,,851.HK,1
01841,優越集團 (A.Plus),B 階梯內,,,,1841.HK,1
00328,ALCO HOLDINGS,B 階梯內,,,,328.HK,1
01433,常達控股,B 階梯內,,1.32,停牌,1433.HK,1
09608,宋都服務,B 階梯內,,,,9608.HK,1
01891,興合控股,B 階梯內,,0.91,勢頭向上,1891.HK,1
01740,新石文化,B 階梯內,,,,1740.HK,1
01843,快餐帝國,B 階梯內,,,,1843.HK,1
01927,久久王,B 階梯內,,0.89,勢頭向上,1927.HK,1
01941,燁星集團,B 階梯內,,,,1941.HK,1
01582,華營建築,B 階梯內,,,,1582.HK,1
01449,立德教育,B 階梯內,,,,1449.HK,1
02455,潤華服務,B 階梯內,,,,2455.HK,1
03830,童園國際,B 階梯內,,2.52,勢頭向上,3830.HK,1
01615,奧邦建築,B 階梯內,,,,1615.HK,1
01407,交運燃氣,B 階梯內,,,,1407.HK,1
02129,LEGION CONSO,B 階梯內,,,,2129.HK,1
01284,新傳企劃,B 階梯內,,,,1284.HK,1
01955,莊臣控股,B 階梯內,,,,1955.HK,1
01545,設計都會,B 階梯內,,,,1545.HK,1
02132,譽燊豐控股,B 階梯內,,,,2132.HK,1
01947,美皓集團,B 階梯內,,,,1947.HK,1
01650,HYGIEIA GROUP,B 階梯內,,,,1650.HK,1
01147,伊登軟件,B 階梯內,,0.15,勢頭向上,1147.HK,1
08400,亞洲先鋒娛樂,B 階梯內,,0.74,勢頭向上,8400.HK,1
01620,富盈環球集團,B 階梯內,,0.3,勢頭向上,1620.HK,1
01767,TS WONDERS,B 階梯內,,0.34,勢頭向上,1767.HK,1
08622,愉悅集團,D 已有GO,是,0.18,勢頭向上,8622.HK,2
00924,坤集團,D 已有GO,是,,,924.HK,2
01489,GC CONSTRUCTION,D 已有GO,是,,,1489.HK,2
08507,愛世紀集團,D 已有GO,是,0.59,突破向上,8507.HK,2
09929,,D 已有GO,是,30.07,勢頭向上,9929.HK,2
02295,,D 已有GO,是,15.43,勢頭向上,2295.HK,2
08403,德豐宿來,D 已有GO,是,2.58,勢頭向上,8403.HK,2
02350,數科集團,D 已有GO,是,0.35,勢頭向上,2350.HK,2
08043,ATLINKS,C 已離開階梯,,,,8043.HK,3
08549,金葉國際集團,C 已離開階梯,,,,8549.HK,3
08668,瀛海集團,C 已離開階梯,,,,8668.HK,3
08657,TRUE PARTNER,C 已離開階梯,,,,8657.HK,3
08601,寶燵控股,C 已離開階梯,,,,8601.HK,3
01455,科利實業控股,C 已離開階梯,,,,1455.HK,3
02263,富石金融,C 已離開階梯,,,,2263.HK,3
02497,富景中國控股,C 已離開階梯,,,,2497.HK,3
01960,TBKS HLDGS,C 已離開階梯,,,,1960.HK,3
01793,偉工控股,C 已離開階梯,,,,1793.HK,3
02528,尚晉國際控股,C 已離開階梯,,,,2528.HK,3
02347,友和集團,C 已離開階梯,,,,2347.HK,3
02457,步陽國際,C 已離開階梯,,,,2457.HK,3
02885,彼岸控股,C 已離開階梯,,,,2885.HK,3
02108,K2 F&B,C 已離開階梯,,,,2108.HK,3
01832,海天地悅旅,C 已離開階梯,,,,1832.HK,3
02159,麥迪衛康,C 已離開階梯,,1.45,勢頭向上,2159.HK,3
02501,邁越科技,C 已離開階梯,,,,2501.HK,3
02381,蜆壳電業,C 已離開階梯,,2.48,突破向上,2381.HK,3
01553,邁科管業,C 已離開階梯,,,,1553.HK,3
02260,環龍控股,C 已離開階梯,,,,2260.HK,3
03348,中國鵬飛集團,C 已離開階梯,,,,3348.HK,3
02503,中深建業,C 已離開階梯,,,,2503.HK,3
09933,,C 已離開階梯,,7.28,勢頭向上,9933.HK,3
01473,,C 已離開階梯,,5.06,勢頭向上,1473.HK,3
08379,盈證國際,C 已離開階梯,,1.81,勢頭向上,8379.HK,3
01903,,C 已離開階梯,,2.67,勢頭向上,1903.HK,3
02683,華新手袋國際控股,C 已離開階梯,,1.18,勢頭向上,2683.HK,3
08645,比特元宇宙,C 已離開階梯,,2.71,勢頭向上,8645.HK,3
02230,羚邦集團,C 已離開階梯,,0.15,勢頭向上,2230.HK,3
01795,亞東集團,C 已離開階梯,,0.01,勢頭向上,1795.HK,3
09986,,C 已離開階梯,,1.37,停牌,9986.HK,3
